watch time,stream time,peak viewers,average viewers,followers,followers gained,views gained,partnered,mature,top count
701626785,159255,15918,4387,624204,211046,19959602,TRUE,FALSE,139
701112675,66375,62730,11789,888253,251667,22967987,TRUE,FALSE,140
694824900,96825,43164,6709,487048,125202,21701815,TRUE,FALSE,141
687183330,154950,15190,4307,411604,233702,16256814,TRUE,FALSE,142
686190420,63270,48284,10654,1493146,555300,21017083,TRUE,TRUE,143
684989805,83175,23936,8233,1386460,376093,21108143,TRUE,FALSE,144
678553950,134535,70983,5036,617898,232045,15135286,TRUE,FALSE,145
671377335,164370,24101,3994,580169,117751,8772608,FALSE,TRUE,146
665235765,141675,14480,4658,447928,229907,14195441,TRUE,TRUE,147
657967050,100665,57813,5733,866076,451988,12727219,TRUE,FALSE,148
653402715,109725,19552,5816,890734,449198,18215192,TRUE,FALSE,149
648724710,298365,58549,2197,343370,342468,92465761,TRUE,FALSE,150
648709005,92850,23935,6825,604994,229425,14149023,TRUE,FALSE,151
647146350,120270,16497,5497,451034,32781,20723504,TRUE,TRUE,152
644189355,134625,23107,4583,380453,359071,12297555,TRUE,FALSE,153
637126170,120015,39433,4731,465581,398739,9457245,TRUE,FALSE,154
636945375,84915,79976,7175,976555,358315,10679420,TRUE,FALSE,155
635675685,514515,16702,1232,120676,85597,13707851,TRUE,TRUE,156
632221860,101490,17585,6022,380205,40604,19041428,TRUE,FALSE,157
631776570,178650,11860,3552,145247,66220,7767629,TRUE,TRUE,158
630901515,124695,13825,4810,286920,86845,10602339,TRUE,FALSE,159
628031580,230955,13495,2666,1752957,242878,48051640,TRUE,FALSE,160
624736080,288570,11355,2072,116968,76538,7190328,FALSE,TRUE,161
623528640,77865,19358,7458,810077,303949,8002741,TRUE,FALSE,162
621966960,29955,77735,18578,2304144,828877,18227591,TRUE,FALSE,163
621126480,420825,54885,1360,940760,98486,20149298,TRUE,FALSE,164
620161410,81045,73861,7580,1939170,595978,27989257,TRUE,TRUE,165
617449545,109695,35865,5436,674751,40954,27407075,TRUE,TRUE,166
615705795,81645,75219,2858,448854,440927,12899395,TRUE,FALSE,167
615096525,126465,44336,4391,2003385,105957,14782862,TRUE,FALSE,168
612882795,513075,13255,1188,365942,263575,6672028,TRUE,FALSE,169
611059875,165675,36340,3447,878664,12517,10168598,TRUE,FALSE,170
610680075,122295,43050,3907,1474132,276949,19803818,TRUE,FALSE,171
610460490,101415,45741,6714,1318133,418283,13427255,TRUE,TRUE,172
610102680,64515,43683,9253,1465730,250905,19271531,TRUE,FALSE,173
609155100,179655,7808,3287,430273,63241,6917033,TRUE,FALSE,174
606859140,104505,30962,5637,598106,29221,12750103,TRUE,FALSE,175
606322560,140145,23408,4051,1125122,309540,15008051,TRUE,FALSE,176
604825065,116010,12298,5089,342125,63544,11459311,TRUE,FALSE,177
603302190,132180,35342,4591,631591,456783,10556135,TRUE,FALSE,178
602323995,136875,11759,4423,290277,133724,15418162,TRUE,TRUE,179
602273700,175515,56482,3295,820532,26337,17554072,TRUE,FALSE,180
601921275,513765,4148,1164,312054,225288,27661148,TRUE,FALSE,181
597458970,282135,6524,2129,155271,35095,7447373,FALSE,TRUE,182
597168315,141555,137531,3339,211952,125085,6297413,TRUE,TRUE,183
596571390,166200,26087,3497,2661373,59428,12893551,TRUE,FALSE,184
596441685,101535,21341,5848,563373,265135,14976002,TRUE,FALSE,185
595348695,82005,42594,6950,434573,206927,10972897,TRUE,FALSE,186
584504355,158025,105530,3771,1157747,228030,22581039,TRUE,FALSE,187
581366745,136080,25866,4069,301802,66566,13812575,TRUE,FALSE,188
580528710,176775,101124,2961,286495,156747,8440360,TRUE,FALSE,189
580128585,132600,11854,4255,243786,60494,8122838,TRUE,FALSE,190
578418465,158415,10011,3560,225859,68121,13443643,TRUE,FALSE,191
576002145,51180,73800,10413,317627,134813,10257458,TRUE,FALSE,192
575120775,94770,45549,5697,670904,339036,13742248,TRUE,FALSE,193
574521570,99675,43919,4996,816547,731547,11255390,TRUE,FALSE,194
574022400,56100,88174,9928,1542803,795880,19844935,TRUE,FALSE,195
571926360,94155,83666,6567,354949,201273,83136633,TRUE,FALSE,196
570404745,165975,8337,3395,209930,18098,19304172,TRUE,FALSE,197
570256755,109065,42135,5072,1502704,1003271,10780646,TRUE,FALSE,198
569768850,145125,67732,3170,803762,714171,11389526,TRUE,FALSE,199
568973175,124275,17317,4500,313945,48375,18126872,TRUE,FALSE,200
568192845,169215,21617,3054,674043,464629,7621795,TRUE,FALSE,201
564024165,105945,16128,5231,99014,24427,46613923,TRUE,FALSE,202
559605330,97965,40367,5754,1118586,304771,18595712,TRUE,FALSE,203
559066260,122940,12461,4575,333548,17585,20050973,TRUE,FALSE,204
556781625,88485,19065,6231,454959,82430,5829499,TRUE,TRUE,205
549417390,238200,11659,2144,1558955,196494,7069134,TRUE,FALSE,206
547810665,37110,109148,15299,1195687,753319,77377713,TRUE,FALSE,207
547683195,18195,56325,30541,2858381,821235,30123805,TRUE,FALSE,208
545971335,19800,110800,19671,605339,227005,7596479,TRUE,FALSE,209
542671140,18795,141162,28579,1035601,541203,11313155,TRUE,TRUE,210
541742580,93360,24568,5410,829912,90839,9947339,TRUE,FALSE,211
540746295,25605,109522,20343,197307,98506,9734705,TRUE,FALSE,212
536327940,183195,16011,2914,1000670,87428,6147685,TRUE,TRUE,213
533780130,105900,36971,4824,382459,103568,15896844,TRUE,FALSE,214
532540875,144600,22375,3454,522531,51435,8576568,TRUE,TRUE,215
530546700,112395,32463,4456,545232,214015,8668239,TRUE,TRUE,216
526375410,58380,19194,8969,273335,90117,14606797,TRUE,FALSE,217
526124100,67815,25281,7608,478900,136906,9743702,TRUE,FALSE,218
525943125,115320,37469,4478,840871,774441,13296707,TRUE,FALSE,219
525157830,151425,23633,3416,1323594,271504,12710687,TRUE,FALSE,220
522280080,76425,38774,6930,533367,136518,12995051,TRUE,TRUE,221
521805960,41070,65622,13694,285215,142321,6497184,TRUE,FALSE,222
519428385,116955,14578,4445,283030,64861,7591184,TRUE,FALSE,223
517347510,118800,31421,4322,181628,47974,15478590,TRUE,FALSE,224
515441595,160845,20745,2792,279879,53748,18859848,TRUE,FALSE,225
513872070,156735,85051,3018,1742509,106219,23086165,TRUE,FALSE,226
512243520,124935,12084,4010,173356,48638,11733061,TRUE,FALSE,227
510693330,57450,60550,8095,1544013,492919,9199623,TRUE,TRUE,228
509230635,94470,16243,5355,505746,139681,13494305,TRUE,FALSE,229
508554135,54525,110095,7790,517761,45387,11736941,TRUE,FALSE,230
498938310,254580,11063,1882,126298,14120,13966704,TRUE,FALSE,231
496878300,174780,19755,2763,265578,95325,7228778,TRUE,TRUE,232
495693255,170460,49010,2585,348469,132914,8298324,TRUE,FALSE,233
495196050,129900,22496,3671,726253,206365,7160879,TRUE,TRUE,234
494575755,123225,32945,3628,415132,214997,14011149,TRUE,FALSE,235
492985830,166860,10845,2940,142470,66300,7012610,TRUE,FALSE,236
491836485,96165,21187,4693,1276035,158641,10010349,TRUE,FALSE,237
488335995,139395,10628,3422,187806,48977,14665290,TRUE,TRUE,238
485983620,60990,36933,8251,306560,28277,12127688,TRUE,FALSE,239
485789805,144735,17228,3357,237417,98895,11722387,TRUE,FALSE,240
485344125,25605,73369,19007,3339223,1593353,19704569,TRUE,FALSE,241
484560630,125490,26614,4058,347039,333225,10270882,TRUE,FALSE,242
480278160,14985,110102,31592,16042584,1224029,17525109,TRUE,FALSE,243
478158045,184425,23515,2433,536086,187509,8010045,TRUE,FALSE,244
477825915,105375,106003,4721,522384,114330,21006921,TRUE,FALSE,245
475662690,134985,13825,3451,336480,55952,18221711,TRUE,FALSE,246
474657165,125565,30702,3601,1034770,261994,11033860,TRUE,FALSE,247
473504025,387180,22132,1260,243791,33844,33874603,TRUE,FALSE,248
465984675,88695,25340,5075,790369,211840,11013666,TRUE,FALSE,249
465961260,160800,8278,2852,191229,49244,5113892,TRUE,TRUE,250
464060685,83505,26274,5119,418198,285161,8317007,TRUE,TRUE,251
462195885,100215,40183,4613,1311763,369119,22191613,TRUE,FALSE,252
460927260,118395,21804,3753,566398,224697,8916993,TRUE,FALSE,253
460493610,142575,51268,3229,1743904,382392,10092731,TRUE,TRUE,254
459839160,136815,15296,3329,432141,44845,12347960,TRUE,FALSE,255
458251005,502215,11191,907,239502,124049,11294616,TRUE,TRUE,256
457348935,72975,21369,6313,556997,86407,15214714,TRUE,TRUE,257
455249400,120570,29654,3674,296575,237935,16832920,TRUE,FALSE,258
451797285,93960,39004,4332,593588,132211,13140524,TRUE,FALSE,259
450394680,229500,28651,2475,637751,521960,11351604,TRUE,FALSE,260
450107850,140340,25387,2826,518749,295658,7253802,TRUE,FALSE,261
449592615,121245,104568,3169,321696,131105,6370777,TRUE,FALSE,262
448325160,68355,74670,6646,705599,217227,14229432,TRUE,FALSE,263
444398715,100815,21212,4069,866771,270339,11764214,TRUE,FALSE,264
443236110,148695,15525,2870,540525,243018,8536645,TRUE,FALSE,265
442284615,68835,54323,6250,494388,142075,8703317,TRUE,FALSE,266
439859310,44475,62702,9585,960264,937931,12597698,TRUE,FALSE,267
438423960,60300,93577,6894,1146751,611420,12088817,TRUE,FALSE,268
438146835,192780,18371,2297,163989,33934,5334974,TRUE,TRUE,269
434908725,29070,60682,13717,148805,35601,10196789,TRUE,FALSE,270
432989925,54495,51244,7674,678006,422939,9498624,TRUE,TRUE,271
432384705,190260,7889,2284,312337,231099,8264182,TRUE,FALSE,272
432085605,86010,25281,4758,430863,276516,5042158,TRUE,FALSE,273
430979640,155910,12621,2736,796800,239670,6137521,TRUE,FALSE,274
429706365,178065,11495,2266,325900,56891,6373121,TRUE,TRUE,275
428352510,139365,11971,2982,248782,21311,6061013,TRUE,TRUE,276
427150980,122235,17327,3377,1541107,111256,7593615,TRUE,FALSE,277
426722250,175560,16089,2383,714973,22226,11582229,TRUE,FALSE,278
425623050,181395,14610,2314,178285,31997,13078873,TRUE,FALSE,279
419073075,228960,14288,1802,274627,36515,9702348,TRUE,FALSE,280
418426545,128670,47748,3214,868812,88496,14282662,TRUE,FALSE,281
417154005,97665,20861,4180,161421,76678,11825287,TRUE,FALSE,282
416765130,60525,18539,6859,744148,209863,14436062,TRUE,FALSE,283
416756610,86445,28830,5268,287813,142847,6327518,TRUE,FALSE,284
415208700,75675,47343,5501,853902,853534,10372182,TRUE,TRUE,285
414358875,145365,8406,2753,287541,19050,17438467,TRUE,FALSE,286
412366920,153570,20284,2441,435800,150296,12040488,TRUE,FALSE,287
411540135,124530,16252,3276,186779,64202,7598192,TRUE,FALSE,288
411225060,60225,53526,6393,1700674,1361824,11557890,TRUE,FALSE,289
410463735,154275,9169,2476,570621,122976,9056504,TRUE,FALSE,290
406441560,227160,7628,1768,108483,24660,9771026,TRUE,FALSE,291
405249210,174045,147514,2401,349054,61578,7205339,TRUE,FALSE,292
404830485,134310,8262,3073,94915,70491,10299891,TRUE,FALSE,293
403009455,93465,28779,4195,1027845,47998,6918255,TRUE,TRUE,294
401685045,128655,32577,2403,627541,253025,9283112,TRUE,FALSE,295
396775755,108975,18283,3619,318902,144455,13149321,TRUE,FALSE,296
395794905,192285,19318,1989,673860,173059,11626262,TRUE,FALSE,297
395493900,149010,22141,2745,374935,70818,18148929,TRUE,TRUE,298
395155440,167025,15547,2377,145026,21094,4224140,TRUE,TRUE,299
393874440,102765,41700,3886,983275,966445,13982129,TRUE,FALSE,300
393068775,148770,12180,2567,176433,42773,9112017,TRUE,FALSE,301
391165095,176250,21993,2223,1012081,45817,7775965,TRUE,TRUE,302
391091580,58770,66706,6464,163293,84477,17789325,TRUE,FALSE,303
390512685,66360,31194,5839,949991,335814,6398277,TRUE,TRUE,304
389018970,113910,41610,3373,1122978,453297,14810527,TRUE,FALSE,305
387579270,47685,94869,7944,856549,617126,4054484,TRUE,FALSE,306
387161220,176310,9055,2183,279983,12748,5765707,TRUE,TRUE,307
386674665,118890,15553,3208,930046,370771,7994677,TRUE,FALSE,308
383975115,123225,25314,2878,1745168,152838,11255758,TRUE,FALSE,309
383760480,156360,38563,2522,397766,75839,19379539,TRUE,FALSE,310
383573940,195150,21892,1918,385967,59713,5424747,TRUE,TRUE,311
383402805,24195,77708,11244,160989,160493,30695555,TRUE,FALSE,312
382548780,61245,89949,5465,623672,225206,15923009,TRUE,FALSE,313
382548615,99510,19328,3885,470821,252306,9677221,TRUE,FALSE,314
382356360,39075,114234,6031,376726,55443,18620840,TRUE,FALSE,315
382150260,136605,28917,2685,1488508,109521,8819822,TRUE,TRUE,316
380090130,145800,6845,2603,1265163,308987,19113374,TRUE,FALSE,317
378710790,60105,47081,6028,943280,681102,5607450,TRUE,FALSE,318
378656310,151020,10316,2509,166155,40523,5213014,TRUE,TRUE,319
378127305,89940,43859,4127,730071,339656,15673325,TRUE,FALSE,320
